gene_id	gene_name
BSU34890,BSU22620	hisH or hisC
BSU37710	bacD
BSU37710	bacD
BSU18220,BSU28540	yngF or fadB
BSU37710	bacD
BSU37710	bacD
BSU37710	bacD
BSU37710	bacD
BSU37710	bacD
BSU29130	icd
BSU31970	dhbB
BSU34870	hisF
BSU34900	hisB
BSU22660	trpC
BSU24080	bcd
BSU00090	guaB
BSU02390,BSU38550	ilvE or ilvK
BSU26690,(BSU26710,BSU26700),BSU29600	brnQ or (azlC and azlD) or braB
BSU37710	bacD
BSU37710	bacD
BSU28540,BSU18220	fadB or yngF
BSU37710	bacD
BSU37710	bacD
BSU39700	iolG
BSU18220,BSU28540	yngF or fadB
BSU06230,BSU39710	iolT or iolF
BSU16530	uppS
BSU28270	leuB
BSU18220,BSU28540	yngF or fadB
BSU28280	leuA
BSU39370	hutI
BSU28260,BSU28250	leuC and leuD
BSU28260,BSU28250	leuC and leuD
BSU28290	ilvC
BSU28290	ilvC
BG12900	BG12900
(BSU15900,BSU11340,BSU15910,BSU11330,BSU11720,BSU04030),(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370)	(fabD and fabF and fabG and fabHA and fabI and ycsD) or (fabD and fabF and fabG and fabHB and fabL and fabZ)
BSU37710	bacD
BSU18220,BSU28540	yngF or fadB
BSU22100	kdgA
BSU33900	eno
BSU04470,BSU38770,BSU07570	dctP or cimH or yflS
BSU39450	yxeR
BSU00910	ispF
BSU08840,BSU08830,BSU08850	ssuA and ssuB and ssuC
BSU10520	glcP
BSU24080	bcd
BSU03060,BSU34190	lctP or yvfH
BSU27270	mtnN
BSU08840,BSU08830,BSU08850	ssuA and ssuB and ssuC
BSU34560	mdxL
BSU31750	pncB
BSU34560	mdxL
BSU37710	bacD
BSU38550,BSU02390	ilvK or ilvE
BSU13180	metE
(BSU26710,BSU26700),BSU29600,BSU26690	(azlC and azlD) or braB or brnQ
BSU37710	bacD
BSU34130	ganA
BSU38500,BSU38510,BSU38520,BSU38530	dltA and dltB and dltC and dltD
BSU21680	msrB
BSU21680	msrB
(BSU32730,BSU32740,BSU32750),(BSU29380,BSU29370,BSU29360,BSU29350,BSU29340)	(metQ and metP and metN) or (tcyJ and tcyK and tcyL and tcyM and tcyN)
(BSU29380,BSU29370,BSU29360,BSU29350,BSU29340),(BSU32730,BSU32740,BSU32750)	(tcyJ and tcyK and tcyL and tcyM and tcyN) or (metQ and metP and metN)
(BSU32730,BSU32740,BSU32750),(BSU29380,BSU29370,BSU29360,BSU29350,BSU29340)	(metQ and metP and metN) or (tcyJ and tcyK and tcyL and tcyM and tcyN)
BSU21690	msrA
BSU21690	msrA
BSU00380	metS
BSU22480	mgsA
BSU19690	kamA
BSU06970,BSU06980,BSU06990	yesO and rhgP and rhgQ
BSU13300,BSU08000,BSU24740	mgtE or yfjQ or yqxL
BSU39760	mmsA
BSU14670	suhB
BSU03050	ldh
BSU03050	ldh
BSU00270	yaaO
BSU24120	mmgF
BSU39760	mmsA
BSU39760	mmsA
BSU39760	mmsA
BSU12340	uxuA
BSU10870	yisU
BSU12020,BSU35790	manA or yvyI
BSU03990	mtlD
BSU08180	malA
BSU34560	mdxL
BSU30770,BSU30760,BSU30750,BSU30740	mntA and mntB and mntC and mntD
BSU04360	mntH
BSU22430	panB
BSU34570	mdxK
BSU33370,BSU33380,BSU33390	yvgK and yvgL and yvgM
BSU24310	folD
BSU40850	maa
BSU24130	mmgE
BSU24310	folD
BSU11010	samT
(BSU34610,BSU34600,BSU34590),(BSU34160,BSU34150,BSU34140),(BSU30290,BSU30280,BSU30270)	(mdxE and mdxF and mdxG) or (cycB and ganP and ganQ) or (amyC and amyD and msmE)
BSU08200,BSU13900,BSU13910	malP and ptsH and ptsI
BSU23560	mleN
BSU24140	mmgD
BSU30820	menD
BSU31580	maeN
BSU00180	tadA
BSU13550	mtnA
BSU13560	mtnK
BSU11610	ppnKA
BSU11610	ppnKA
BSU32200,BSU12290,BSU32100	yutJ or ndh or yumB
BSU29120	mdh
BSU11610	ppnKA
BSU11200	argJ
BSU11610	ppnKA
BSU13610	mtnB
BSU04000	ycsA
BSU29220	ytsJ
BSU11610	ppnKA
BSU38560,BSU40110	licH or bglA
BSU11610	ppnKA
BSU03130	nadE
BSU31600,BSU09850,BSU31610,BSU31620,BSU31630,BSU31640,BSU31650,BSU31660,BSU09680,BSU33420,BSU11640	mrpA or yhaU or mrpB or mrpC or mrpD or mrpE or mrpF or mrpG or nhaC or nhaK or yjbQ
BSU02750,BSU02760	natA and natB
BSU25070	ispG
BSU00900	ispD
BSU30550	metK
BSU22730	ndk
BSU39540	yxeI
BSU22730	ndk
BSU22730	ndk
BSU15570	cysH
BSU22730	ndk
BSU33330	lysP
BSU22730	ndk
BSU22730	ndk
BSU22730	ndk
BSU34550	mdxM
BSU31350	pgi
BSU37780	rocA
BSU22730	ndk
BSU39400	pdp
BSU22620,BSU34890	hisC or hisH
BSU22730	ndk
BSU39400	pdp
BSU36510	amtB
BSU37660	pta
BSU38020,BSU11710	pdxK or thiD
BSU25640	nadD
BSU37660	pta
BSU19800	phy
BSU25640	nadD
BSU24970,BSU24960,BSU24950,BSU24980,BSU24990	pstA and pstBA and pstBB and pstC and pstS
BSU01580,BSU15580,BSU34660	ybaR or cysP or yvdB
BSU31760	pncA
BSU11670	thiO
BSU12840	pit
BSU25420	yqeW
BSU34560	mdxL
BSU27860	nadC
BSU09310	pgcA
BSU39270,BSU13900,BSU13910	bglP and ptsH and ptsI
BSU38060	ywcJ
BSU30800	menB
BSU35920	rbsK
BSU37320,BSU38060	narK or ywcJ
BSU03010	amhX
BSU03330	nasA
BSU23760	coaA
BSU28790	araB
BSU35940,BSU35960,BSU35950,BSU35930	rbsA and rbsB and rbsC and rbsD
(BSU03320,BSU03310),(BSU37280,BSU37270,BSU37260)	(nasB and nasC) or (narG and narH and narJ)
BSU07570,BSU04470	yflS or dctP
BSU39980	qodI
BSU23490,BSU19630	pupG or deoD
BSU27850	nadA
BSU29300,BSU16670	rbfK or ribC
BSU23760	coaA
BSU38240	ywcA
BSU40550	ppaC
BSU28130	hemB
BSU15700	coaBC
BSU28790	araB
BSU23270,BSU23250	ribE and ribH
BSU15700	coaBC
BSU30560	pckA
BSU11250	argF
BSU23500	drm
BSU23920,BSU18210	yqjD or yngE
BSU23270,BSU23250	ribE and ribH
BSU28780	araD
BSU31180	rhaA
BSU31200	rhaB
BSU23500	drm
BSU22610	tyrA
BSU17380,BSU17390,BSU17370	nrdE and nrdF and nrdI
BSU03300,BSU03290	nasD and nasE
BSU15790	rpe
BSU36920	ywlF
BSU15590	sat
BSU27900	pheA
BSU10140	hemY
