gene_id	gene
BSU34900	hisB
BSU34590	mdxG
BSU29180	pyk
BSU34600	mdxF
BSU22660	trpC
BSU34160	cycB
BSU24080	bcd
BSU30290	amyC
BSU00110	pdxS
BSU38550	ilvK
BSU30270	msmE
BSU02390	ilvE
BSU08200	malP
BSU29600	braB
BSU00120	pdxT
BSU23560	mleN
BSU31580	maeN
BSU35790	yvyI
BSU39980	qodI
BSU26700	azlD
BSU12020	manA
BSU26690	brnQ
BSU26710	azlC
BSU27850	nadA
BSU12010	manP
BSU00090	guaB
BSU24130	mmgE
BSU39700	iolG
BSU29300	rbfK
BSU24140	mmgD
BSU23270	ribE
BSU00180	tadA
BSU39720	iolE
BSU23250	ribH
BSU29120	mdh
BSU28790	araB
BSU39750	iolB
BSU13610	mtnB
BSU39730	iolD
BSU28780	araD
BSU04000	ycsA
BSU39740	iolC
BSU29220	ytsJ
BSU06230	iolT
BSU39710	iolF
BSU31180	rhaA
BSU25070	ispG
BSU31200	rhaB
BSU22870	fni
BSU00910	ispF
BSU16530	uppS
BSU17370	nrdI
BSU00900	ispD
BSU17390	nrdF
BSU28270	leuB
BSU30550	metK
BSU28260	leuC
BSU17380	nrdE
BSU29380	tcyJ
BSU28250	leuD
BSU29350	tcyM
BSU28280	leuA
BSU39370	hutI
BSU15790	rpe
BSU29360	tcyL
BSU36920	ywlF
BSU28290	ilvC
BSU29340	tcyN
BSU15590	sat
BSU04030	ycsD
BSU32730	metQ
BSU29370	tcyK
BSU36370	fabZ
BSU06150	gutB
BSU32740	metP
BSU06160	gutP
BSU11720	fabI
BSU32750	metN
BSU13180	metE
BSU21680	msrB
BSU15910	fabG
BSU19710	yodQ
BSU21690	msrA
BSU00930	cysE
BSU00380	metS
BSU23770	dsdA
BSU10170	fabHB
BSU22480	mgsA
BSU08650	fabL
BSU08000	yfjQ
BSU15860	sdaAA
BSU13300	mgtE
BSU15850	sdaAB
BSU11330	fabHA
BSU15900	fabD
BSU24740	yqxL
BSU15630	sirC
BSU15620	sirB
BSU11340	fabF
BSU14670	suhB
BSU24120	mmgF
BSU13500	ktrD
BSU25660	aroD
BSU39760	mmsA
BSU31100	ktrB
BSU03981	mtlA
BSU03150	aroK
BSU12340	uxuA
BSU11870	metI
BSU31090	ktrA
BSU30760	mntB
BSU14510	ktrC
BSU30770	mntA
BSU26640	yrdP
BSU34660	yvdB
BSU30740	mntD
BSU15580	cysP
BSU31620	mrpC
BSU31600	mrpA
BSU30750	mntC
BSU31660	mrpG
BSU01580	ybaR
BSU04360	mntH
BSU31630	mrpD
BSU33390	yvgM
BSU25020	sodA
BSU33370	yvgK
BSU26600	bltD
BSU33380	yvgL
BSU22430	panB
BSU26590	blt
BSU34570	mdxK
BSU24310	folD
BSU37500	speE
BSU11010	samT
BSU03910	gabD
BSU13550	mtnA
BSU30790	menE
BSU30780	menC
BSU13560	mtnK
BSU28430	sdhB
BSU32100	yumB
BSU28440	sdhA
BSU28450	sdhC
BSU12290	ndh
BSU16090	sucC
BSU32200	yutJ
BSU16100	sucD
BSU11610	ppnKA
BSU03130	nadE
BSU38050	sacP
BSU02750	natA
BSU01680	ybbF
BSU02760	natB
BSU09850	yhaU
BSU31640	mrpE
BSU33430	cysI
BSU09680	nhaC
BSU33440	cysJ
BSU12380	uxaB
BSU33420	nhaK
BSU37110	ywjH
BSU11640	yjbQ
BSU31750	pncB
BSU35710	tagG
BSU35760	tagB
BSU22730	ndk
BSU35720	tagF
BSU36510	amtB
BSU35700	tagH
BSU25640	nadD
BSU31760	pncA
BSU27860	nadC
BSU35530	tagO
BSU38060	ywcJ
BSU35750	tagA
BSU35730	tagE
BSU37320	narK
BSU35690	ggaA
BSU03330	nasA
BSU35680	ggaB
BSU30800	menB
BSU35590	tuaC
BSU03320	nasB
BSU35600	tuaB
BSU03310	nasC
BSU37280	narG
BSU35570	tuaE
BSU37260	narJ
BSU35550	tuaG
BSU37270	narH
BSU35540	tuaH
BSU03290	nasE
BSU35609	tuaA
BSU03300	nasD
BSU16990	tdh
BSU11250	argF
BSU38990	atoA
BSU21770	ilvA
BSU38980	atoB
BSU32250	thrC
BSU24030	bkdB
BSU17890	tkt
BSU21820	thyB
BSU24060	lpdV
BSU24050	bkdAA
BSU17680	thyA
BSU24040	bkdAB
BSU15550	pyrF
BSU11650	tenA
BSU40340	rocD
BSU15560	pyrE
BSU05900	thiL
BSU33240	oxdC
BSU18670	yoaN
BSU38290	thiE
BSU33920	tpiA
BSU23800	proI
BSU18480	proH
BSU12910	proG
BSU03270	ycgT
BSU22420	panC
BSU15190	mraY
BSU34790	trxB
BSU24090	ptb
BSU32110	yumC
BSU37660	pta
BSU07810	treA
BSU07800	treP
BSU22640	trpB
BSU14860	pycA
BSU22630	trpA
BSU14590	pdhB
BSU14580	pdhA
BSU10010	trpP
BSU14600	pdhC
BSU15180	murE
BSU35660	mnaA
BSU39540	yxeI
BSU38860	galE
BSU29190	pfkA
BSU30870	ytcB
BSU01770	glmM
BSU37100	murAB
BSU23070	serA
BSU23860	gndA
BSU36760	murAA
BSU33930	pgk
BSU09240	glpW
BSU15220	murG
BSU15200	murD
BSU33910	pgm
BSU16540	cdsA
BSU29790	murC
BSU19800	phy
BSU15230	murB
BSU31150	uppP
BSU24960	pstBA
BSU35580	tuaD
BSU04570	murF
BSU24990	pstS
BSU21920	ugtP
BSU24950	pstBB
BSU24970	pstA
BSU13580	mtnE
BSU24980	pstC
BSU15610	sumT
BSU12840	pit
BSU03280	nasF
BSU28140	hemD
BSU25420	yqeW
BSU10120	hemE
BSU36890	upp
BSU09310	pgcA
BSU03010	amhX
BSU23760	coaA
BSU36470	pucI
BSU38240	ywcA
BSU15480	pyrP
BSU40550	ppaC
BSU39360	hutU
BSU36650	ureB
BSU28130	hemB
BSU36660	ureA
BSU15700	coaBC
BSU36640	ureC
BSU30560	pckA
BSU23920	yqjD
BSU18210	yngE
BSU32460	pucM
BSU32450	pucL
BSU23500	drm
BSU22610	tyrA
BSU27900	pheA
BSU16510	pyrH
BSU10140	hemY
BSU18830	pps
BSU32510	pucA
BSU06530	purD
BSU32480	pucD
BSU32470	pucE
BSU22650	trpF
BSU32490	pucC
BSU06500	purM
BSU32500	pucB
BSU34860	hisI
BSU06450	purC
BSU22060	pbuX
BSU06470	purQ
BSU22070	xpt
BSU06480	purL
BSU06460	purS
BSU32440	pucK
BSU17600	xylA
BSU32430	pucJ
BSU17610	xylB
BSU34880	hisA
BSU03200	putB
BSU02850	znuA
BSU06660	opuE
BSU02870	znuB
BSU02860	znuC
BSU30530	ytnA
BSU19580	yodF
BSU03220	putP
BSU00510	prs
