lexA	1.08
yndM	1.55
yozH	1.19
xynA	1.21
yobB	1.37
penP	0.0
yoaW	0.0
yoaU	0.0
yndK	0.0
yndH	0.0
yndE	0.0
ynzB	0.0
yndA	0.0
cotC	1.31
yonR	1.04
yonT	1.13
yonV	1.01
yopA	0.0
yopC	0.0
yopE	0.0
yosR	1.19
yosT	0.0
yosV	0.0
yosZ	1.15
yotB	1.24
yotD	1.16
yopG	1.08
yopI	1.25
yopK	0.0
yopM	0.0
yopO	0.0
yopQ	1.18
yotF	0.0
yotH	0.0
yotJ	0.0
yotL	0.0
yotN	0.0
yodV	1.28
yonS	1.31
yonU	0.9559
yonX	0.0
yopB	0.0
yopD	0.0
yopF	0.0
yosS	0.0
yosU	0.0
yosX	0.0
sspC	0.0
yotC	0.0
yotE	0.0
yopH	1.16
yopJ	1.27
yopL	1.12
yopN	0.0
yopP	0.0
yopR	0.0
yotG	0.0
yotI	0.0
yotK	0.0
yotM	0.0
yodU	0.0
cgeA	0.0
fer	0.9418
recQ	0.7105
ypbE	0.7708
ypbH	0.6641
ypdA	0.8991
sleB	1.17
ypcP	0.8335
ypdP	0.8335
ypeQ	0.9688
degR	0.8041
ypfP	1.1
bsaA	0.8741
ypfA	1.35
cmk	1.39
ypgA	1.75
yphB	0.0
gpsA	1.18
yphF	1.19
ypgR	1.31
yphP	1.32
ypjP	1.27
thyB	1.26
ypkP	1.19
yplP	0.7209
ypbB	1.35
ypbD	1.28
ypbF	1.34
ypcA	1.4
ypdC	1.09
ypeB	1.21
ypdQ	0.0
ypeP	1.09
ypzA	1.06
cspD	1.16
metB	1.32
ypgQ	1.29
ypfB	1.5
ypfD	2.26
yphA	1.6
yphC	1.2
yphE	0.0
spoIVA	0.0
ilvD	0.8506
ypiP	1.23
ypjQ	1.31
dfrA	1.35
yplQ	0.8941
ilvA	1.01
yqgA	0.8439
yqgC	0.6914
yqgE	0.7215
yqgG	0.7649
yqgI	0.7639
yqgK	0.7739
bfmBAB	0.7784
bmrR	0.7746
yqiW	0.8471
yqiY	1.22
yqjA	0.7994
yqjC	0.7337
yqgL	0.7261
yqgN	0.706
yqgP	0.0
glcK	0.0
yqgU	0.6592
yqgW	0.7009
yqjE	0.6799
yqjG	0.6208
yqjI	0.8692
yqjK	0.7592
yqjM	0.7242
yqjO	0.6735
yqgB	0.7335
sodA	0.8314
pbpA	0.7478
yqgH	0.7352
yqgJ	0.6394
yqzD	0.6068
bfmBB	0.6969
bmr	0.7051
yqiX	1.25
yqiZ	1.12
yqjB	0.6439
yqjD	0.7019
yqgM	0.7687
yqgO	0.695
yqgQ	0.6491
yqgT	0.7686
yqgV	0.7207
yqgX	0.9036
yqjF	0.8102
yqjH	0.7448
yqjJ	0.9953
yqjL	0.0
yqjN	0.0
yqjP	0.0
levE	0.812
levG	0.7979
adhA	0.986
yraC	0.9992
yraE	1.07
yraF	1.17
yqbK	0.9368
yqbM	0.9236
yqbN	0.9814
yqbQ	1.02
yqbS	0.923
yqcA	1.01
yraH	0.942
yraJ	0.0
yraL	0.0
yraM	0.0
yraO	0.0
sigZ	0.0
yqcD	0.0
yqxG	0.0
yqxI	0.0
yqcF	0.8823
yqzI	0.8772
rapE	0.8435
levF	0.8873
sacC	0.7724
yraB	0.9546
yraD	0.9503
adhB	0.9719
yraG	0.8658
yqbL	0.8991
yqdB	0.8914
yqbP	0.9471
yqbR	0.9384
yqbT	1.02
yqcB	0.9213
yraI	0.837
yraK	1.02
csn	0.9915
yraN	0.9405
yrpG	0.0
yrpE	2.01
yqcE	0.9234
cwlA	0.984
yqxJ	0.8684
yqcG	0.0
phrE	0.0
yqcI	0.0
ytaF	0.8578
ytbE	0.8599
ytcD	0.9064
ytcF	1.12
dnaB	0.8574
ytxB	0.8871
folC	0.8227
spoIIB	0.9514
