citA,0.6321
lytE,0.4371
spoVR,0.8279
xkdU,0.0
xkdS,2.29
xkdQ,0.0
xkdN,2.02
xkdK,1.75
xkdI,1.7
yjbX,0.9437
yjbV,0.2903
yjbT,0.4752
yjbR,0.2282
tenA,0.1739
yjbP,1.0
xkdG,1.86
xkdE,2.09
xpf,1.43
xkdD,1.37
xkdB,1.39
xkdA,1.09
yjbN,0.8706
yjbL,0.9093
yjbJ,0.8087
yjbH,0.9002
yjbF,0.9809
yjbE,1.57
xkdT,1.35
xkdR,1.17
xkdP,1.32
xkdM,1.45
xkdJ,1.36
xkdH,1.18
yjbW,0.2896
yjbU,0.2219
yjbS,0.1449
tenI,0.1913
yjbQ,0.7944
yjbO,0.7996
xkdF,1.37
xtmA,1.19
xtrA,1.05
xkdC,1.03
xre,0.9337
yjqC,0.7971
yjbM,0.5695
yjbK,0.4848
yjbI,0.4531
yjbG,0.561
mecA,0.7049
yjbD,0.6344
ylaM,4.77
ylaK,5.48
ylaH,3.29
ylaF,3.28
ylaD,0.0
ylaB,3.23
ykvM,3.44
ykvK,2.22
ykvI,3.03
motA,6.42
ykvE,2.54
eag,2.35
nprE,3.27
ykzC,4.53
ykzI,3.12
yktA,1.82
slp,2.61
pdhC,1.92
ykvA,1.89
ykrY,0.8117
ykrW,1.58
ykrU,1.59
ykrS,0.8042
ykrQ,1.6
ylaL,2.66
ylaJ,2.93
ylaG,4.51
ylaE,3.13
ylaC,2.9
ylaA,2.79
ykvL,1.57
ykvJ,2.08
clpE,2.51
motB,4.52
ykvD,1.4
spo0E,1.37
yktD,3.25
yktC,2.66
yktB,4.09
cad,2.22
pdhD,1.27
pdhB,0.8934
ykrZ,0.5431
ykrX,0.6207
ykrV,1.53
ykrT,0.6613
dat,1.14
ykrM,0.7048
ymfM,0.4269
ymfK,0.0
ymfI,1.2
ymfF,0.9745
ymfD,0.9589
spoIIIE,0.0
yloW,1.42
yloU,1.02
spoVM,2.12
yloR,2.42
ymfA,0.2188
dapG,0.4071
spoVFB,1.2
ymxH,1.18
ylxY,0.6196
