,ybeF,0.0
691,yubD,0.8992
692,yubF,0.8904
693,yuaA,0.9315
694,yuaC,1.11
695,gbsB,0.9911
696,yteQ,0.0
697,yteS,0.0
698,yteU,0.0
699,opuD,1.06
700,ytgP,1.39
701,ytzF,1.06
702,yuaF,0.4485
703,yuaI,0.433
704,glgB,0.0
705,glgA,1.15
706,ytaA,0.0
707,cotS,0.0
708,ythP,1.04
709,ytiP,0.7023
710,ytkP,1.13
711,ytlQ,1.01
712,amyX,1.29
713,ytzH,1.7
714,yvrB,0.9678
715,yvqK,0.6581
716,yvqI,3.99
717,yvqG,0.9711
718,yvqE,0.8669
719,gerAC,0.9819
720,yutL,1.26
721,paiA,0.0
722,yumD,0.8279
723,yumC,1.12
724,yuiA,0.73
725,yuiC,0.6483
726,gerAA,0.0
727,yuxN,1.07
728,yvqA,0.9493
729,yvtB,0.8166
730,yusZ,0.6387
731,yusW,0.0
732,yuiE,0.9296
733,yuiG,1.07
734,yuiI,1.79
735,dhbC,2.49
736,dhbB,2.6
737,yukL,1.64
738,yvrA,0.8329
739,yvqJ,1.1
740,yvqH,3.84
741,yvqF,0.8576
742,yvqC,0.9259
743,gerAB,1.17
744,yutM,1.05
745,paiB,0.0
746,yuzG,0.0
747,yumB,0.0
748,yuiB,0.9121
749,yuiD,0.0
750,citG,1.04
751,yvqB,1.25
752,yvtA,1.13
753,mrgA,0.5873
754,yusX,1.13
755,yusV,1.25
756,yuiF,1.33
757,yuiH,0.0
758,dhbA,3.28
759,dhbE,2.29
760,yukM,1.85
761,yukJ,1.02
762,yvyD,0.7755
763,cccB,0.7434
764,ftsX,1.26
765,yvzD,1.09
766,yvkA,0.7584
767,yvkC,0.7542
768,yvfH,0.9586
769,lacR,0.0
770,yvfM,0.0
771,yvfO,0.0
772,yvfS,0.0
773,yvfU,0.9025
774,uvrB,0.9646
775,yvzB,0.8978
776,yvlA,0.6646
777,yvlC,0.728
778,yvmB,0.9126
779,cypX,1.06
780,yvfW,0.8823
781,yvbX,0.9956
782,yvbV,1.19
783,yvbT,0.9827
784,araE,1.15
785,gap,1.13
786,yvjA,0.8625
787,ftsE,1.37
788,yvjB,1.1
789,yvjD,1.36
790,yvkB,0.0
791,csbA,1.08
792,yvfI,0.9595
793,yvfL,0.0
794,lacA,0.0
795,yvfR,0.0
796,yvfT,1.01
797,yvfV,0.9533
798,uvrA,1.21
799,yvkN,1.08
800,yvlB,0.6316
801,yvmA,0.907
802,yvmC,1.18
803,yvnA,0.0
804,yvbY,1.02
805,yvbW,0.9523
806,yvbU,1.2
807,araR,0.0
808,yvbQ,1.44
809,pgk,0.9669
810,ywhR,0.763
811,sbo,0.0
812,argS,0.9418
813,fnr,0.0
814,ywiD,0.0
815,narH,0.0
816,ywpD,0.9524
817,ywpF,1.05
818,ywpH,1.12
819,ywqB,1.03
820,ywqD,0.8559
821,ywqF,0.9347
822,narI,0.0
823,ywjA,1.14
824,ywjC,1.3
825,ywjE,0.0
826,rpoE,1.26
827,ywjG,1.08
828,ywqH,0.7193
829,ywqJ,0.8016
830,ywqL,0.8209
831,ywqN,1.14
832,ywrA,0.0
833,ywrC,0.6224
834,ywiA,0.9129
835,ywiB,0.9901
836,narK,0.808
837,ywiC,0.9808
838,narG,0.0
839,narJ,1.13
840,ywpE,0.0
841,ywpG,0.0
842,ywpJ,0.0
843,ywqC,1.29
844,ywqE,0.9761
845,ywqG,1.15
846,ywiE,1.06
847,ywjB,1.23
848,ywjD,1.14
849,acdA,1.06
850,ctrA,1.01
851,spo0F,0.955
852,ywqI,0.9438
853,ywqK,0.9032
854,ywqM,1.07
855,ywqO,0.0
856,ywrB,0.7844
857,ywrD,0.9677
858,hutI,0.9007
859,hutP,1.05
860,yxiB,1.1
861,yxiD,1.01
862,yxxE,0.8736
863,bglH,0.303
864,ywbA,1.03
865,ywbC,0.9446
866,ywbE,0.9919
867,ywbG,0.0
868,ywbI,0.8163
869,thiC,0.8362
870,yxxF,1.08
871,yxiF,1.15
872,yxiG,1.07
873,yxzG,1.22
874,yxiJ,1.1
875,yxiL,1.06
876,ywbO,0.8877
877,ywcB,0.8801
878,ywcD,0.8811
879,ywzA,1.21
880,qoxB,1.04
881,qoxD,0.925
882,hutU,0.966
883,yxiA,0.8526
884,yxiC,0.9076
885,yxxD,0.9082
886,bglP,0.6363
887,yxiE,1.0
888,ywbB,1.28
889,ywbD,1.17
890,ywbF,1.37
891,ywbH,0.8118
892,thiK,1.14
893,ywbM,1.17
894,yxxG,0.0
895,yxzC,1.29
896,yxiH,1.28
897,yxiI,1.24
898,yxiK,1.15
899,yxiM,1.32
900,ywcA,1.18
901,ywcC,0.9566
902,galT,0.0
903,qoxA,0.8918
904,qoxC,0.8371
905,ywcE,1.11
906,ytrP,0.9417
907,yprA,0.7629
908,yloN,0.8559
909,yerG,0.992
910,wprA,0.0
911,yycJ,0.8335
912,rocR,1.08
913,rocE,0.882
914,phrG,0.8975
915,yycN,0.0
916,yycP,0.9832
917,topB,0.8387
918,polA,0.0
919,mmgA,0.6963
920,ileS,0.776
921,dinG,0.8446
922,carB,0.6966
