gene_id	value
BSU03010	1.27
BSU38240	1.18
BSU15480	0.9687
BSU39360	0.966
BSU36650	1.03
BSU28130	1.0
BSU36660	0.9
BSU36640	0.9473
BSU30560	1.05
BSU23920	1.11
BSU18210	0.9977
BSU23500	1.13
BSU22610	1.21
BSU27900	1.06
BSU10140	0.9062
BSU18830	0.8159
BSU06530	0.7979
BSU22650	0.0
BSU06500	0.8006
BSU34860	1.13
BSU06450	0.6674
BSU22060	1.09
BSU06470	0.8942
BSU22070	1.24
BSU06480	0.7476
BSU17600	0.9808
BSU17610	0.9408
BSU34880	1.35
BSU06660	0.0
BSU30530	1.0
BSU19580	1.11
BSU00510	0.938
