gene_id	value
BSU38050	0.9673
BSU02750	1.28
BSU01680	1.33
BSU02760	1.16
BSU09850	1.38
BSU37110	0.6266
BSU11640	1.18
BSU35710	1.64
BSU35760	1.22
BSU22730	0.6087
BSU35720	1.09
BSU27860	0.6635
BSU35530	1.55
BSU38060	0.7503
BSU35750	0.0
BSU35730	1.12
BSU37320	0.9946
BSU35690	1.35
BSU03330	0.9999
BSU35680	1.36
BSU30800	0.9873
BSU35590	1.34
BSU03320	0.9981
BSU35600	1.16
BSU03310	1.08
BSU37280	1.07
BSU35570	1.32
BSU37260	1.14
BSU35550	1.42
BSU37270	0.9068
BSU35540	1.52
BSU03290	1.08
BSU35609	1.43
BSU03300	0.9535
BSU16990	1.15
BSU11250	0.1609
BSU21770	0.5495
BSU32250	0.1846
BSU17890	0.903
BSU21820	0.7917
BSU17680	0.9833
BSU15550	1.03
BSU11650	0.6645
BSU40340	0.9274
BSU15560	1.13
BSU18670	1.13
BSU18480	0.0
BSU03270	1.16
BSU22420	0.9182
BSU15190	1.1
BSU34790	0.8495
BSU32110	0.3592
BSU37660	0.6206
BSU07810	0.8458
BSU07800	1.14
BSU22640	0.9526
BSU14860	0.7198
BSU22630	0.9332
BSU14590	0.8897
BSU14580	0.7843
BSU14600	0.7276
BSU15180	1.52
BSU39540	0.8632
BSU38860	0.7975
BSU30870	0.0
BSU23070	0.5198
BSU33930	1.01
BSU15220	1.71
BSU15200	0.9505
BSU33910	0.8383
BSU16540	0.974
BSU29790	0.9103
BSU15230	1.28
BSU35580	0.8769
BSU04570	1.01
BSU03280	1.13
BSU28140	1.37
BSU25420	1.31
BSU10120	0.9567
BSU36890	0.8025
BSU03010	1.02
BSU38240	0.9802
BSU15480	1.46
BSU39360	1.01
BSU36650	0.9414
BSU28130	1.4
BSU36660	0.6192
BSU36640	0.9239
BSU30560	1.41
BSU23920	1.37
BSU18210	1.48
BSU23500	0.9811
BSU22610	0.7204
BSU27900	1.29
BSU10140	0.8206
BSU18830	1.13
BSU06530	1.55
BSU22650	0.8533
BSU06500	1.58
BSU34860	0.6279
BSU06450	1.47
BSU22060	1.21
BSU06470	1.12
BSU22070	1.19
BSU06480	1.44
BSU17600	1.33
BSU17610	1.12
BSU34880	0.5651
BSU06660	1.4
BSU30530	1.22
BSU19580	0.2523
BSU00510	1.12
