reaction,gpr
LAAL33,BSU37710
LACZ,BSU34130
LIPO3S24_BS,BSU38500 and BSU38510 and BSU38520 and BSU38530
METSR_R1,BSU21680
METSR_R2,BSU21680
METSabc,(BSU32730 and BSU32740 and BSU32750) or (BSU29380 and BSU29370 and BSU29360 and BSU29350 and BSU29340)
METDabc,(BSU29380 and BSU29370 and BSU29360 and BSU29350 and BSU29340) or (BSU32730 and BSU32740 and BSU32750)
METabc,(BSU32730 and BSU32740 and BSU32750) or (BSU29380 and BSU29370 and BSU29360 and BSU29350 and BSU29340)
METSR_S1,BSU21690
METSR_S2,BSU21690
METTRS,BSU00380
MGSA,BSU22480
LYSAM,BSU19690
LCTSabc,BSU06970 and BSU06980 and BSU06990
MGt5,BSU13300 or BSU08000 or BSU24740
MMSAD2,BSU39760
MI1PP,BSU14670
LDH2,BSU03050
LDH_L,BSU03050
LYSDC,BSU00270
MCITL2,BSU24120
MMSAD3,BSU39760
MMSDHir,BSU39760
MMSAD1,BSU39760
MNNH,BSU12340
LYSt3r,BSU10870
MAN6PI,BSU12020 or BSU35790
M1PD,BSU03990
MAL6PG,BSU08180
MALT,BSU34560
MNabc,BSU30770 and BSU30760 and BSU30750 and BSU30740
MNt2,BSU04360
MOHMT,BSU22430
MPL,BSU34570
MOBDabc,BSU33370 and BSU33380 and BSU33390
MTHFC,BSU24310
MALTATr,BSU40850
MCA,BSU24130
MTHFD,BSU24310
MTHFR3,BSU11010
MALTabc,(BSU34610 and BSU34600 and BSU34590) or (BSU34160 and BSU34150 and BSU34140) or (BSU30290 and BSU30280 and BSU30270)
MALTpts,BSU08200 and BSU13900 and BSU13910
MALt10,BSU23560
MCITS,BSU24140
OXGDC,BSU30820
MALt4,BSU31580
MCSNAH,BSU00180
MTRI,BSU13550
MTRK,BSU13560
NADK,BSU11610
NADK1,BSU11610
NADH4,BSU32200 or BSU12290 or BSU32100
MDH,BSU29120
NADK2,BSU11610
ORNTAC_1,BSU11200
NADK3,BSU11610
MDRPD,BSU13610
MALDDH,BSU04000
ME2,BSU29220
NADK4,BSU11610
BGLA1,BSU38560 or BSU40110
NADK5,BSU11610
NADS1,BSU03130
NAt3_1,BSU31600 or BSU09850 or BSU31610 or BSU31620 or BSU31630 or BSU31640 or BSU31650 or BSU31660 or BSU09680 or BSU33420 or BSU11640
